Authors,Publication Year,Cases,Cases_BMI_Mean ,Cases_BMI_SD,Controls,Controls_BMI_Mean,Controls_BMI_SD,Mean Difference,LCI,UCI
Applegate et al.,2017,386,29.7,6.4,840,29.5,6.8,0.2,-0.59,0.99
Chung et al.,2016,48,23.5,2.6,48,22.6,2.4,0.9,-0.1,1.9
Gumina et al.,2014,206,28.8,5,100,27.66,6,1.14,-0.22,2.5
Silverstein et al.,2008,55,28.6,6.7,678,27.2,5.7,1.4,-0.22,2.5
Seo et al.,2019,964,25.1,3.1,105,24.6,3.3,0.5,-0.1,1.9
Suh et al.,2020,192,24.63,2.8,115,24.27,2.66,0.36,-0.27,0.99
Blonna et al.,2016,80,24.5,3,120,24.7,4.1,-0.2,-0.22,2.5
Song et al.,2022,1731,31,7,1007,29,7,2,1.46,2.54
Pansiere et al. ,2022,55,37.2,5.5,180,36.6,5.7,0.6,-1.08,2.28
Park et al.,2018,107,25,3,200,24,3,1,0.3,1.7
Wendelboe et al,2004,311,,,933,,,1.57,0.97,2.17